id,article_id,citation_text,citation_hash,citation_type,author,year,title,source,position
345,464,On (1977),22fdceb9208b9459,author_year,On,1977,,,22120
346,464,Yakov (1978),62aba9c8a4c58146,author_year,Yakov,1978,,,24106
348,464,Yakov (1990),2bbaacaad984b79a,author_year,Yakov,1990,,,24404
349,464,Yakov (1994),498211688013ebf8,author_year,Yakov,1994,,,24536
350,464,Brooks (1956),24f8e061b38edd76,author_year,Brooks,1956,,,24785
351,467,Erokraeyn (1963),3df3885ec489db7e,author_year,Erokraeyn,1963,,,2959
352,471,Karvta (1859),91ffa4ce34b690fa,author_year,Karvta,1859,,,2362
353,471,Jageko (1949),3b0e05780f954b60,author_year,Jageko,1949,,,2404
354,471,Chomsky (1986),4cb7d1cf0a4fdf01,author_year,Chomsky,1986,,,3184
355,471,Gardner and Gardner (1969),5bce677c5bc4722b,author_year,Gardner and Gardner,1969,,,4730
356,471,"(Bickerton, 1990)",314dfe0d90ee15bc,parenthetical_comma,Bickerton,1990,,,2197
357,484,Baker(1988),be7ad38d3374cad2,author_year,Baker,1988,,,659
358,484,(Kayne 1975),7fb0c8006f49f0d5,parenthetical,Kayne,1975,,,480
359,486,(Lipsiae 1834),98b716640c6c8afb,parenthetical,Lipsiae,1834,,,1939
360,486,"(Bonnae, 1834)",61601c8bace70955,parenthetical_comma,Bonnae,1834,,,2098
361,486,"(Bonnae, 1838)",f829cc82b8deadc7,parenthetical_comma,Bonnae,1838,,,2174
362,491,Lenneberg (1964),6014aacdf356ef85,author_year,Lenneberg,1964,,,213
363,491,Oczlon & Fenk (1999),a80165ad4ccc0157,author_year,Oczlon & Fenk,1999,,,247
364,491,Cowan (2001),591e4da4331b97ab,author_year,Cowan,2001,,,1455
365,499,Zheng (2006),fac36033db6cf4e3,author_year,Zheng,2006,,,3614
366,499,Darya (2002),f6e5f387f7b94a82,author_year,Darya,2002,,,3944
367,499,Tania (1998),6461127cb674729e,author_year,Tania,1998,,,4053
368,499,Roger (1990),99d78b9d06167e17,author_year,Roger,1990,,,4175
369,499,Haruko (1997),02b8d77b927040d7,author_year,Haruko,1997,,,4334
370,499,Richard (1985),218f1e209a01fc2f,author_year,Richard,1985,,,4550
371,499,Andrew (2004),9b7a22bf9fe8f2ea,author_year,Andrew,2004,,,4666
372,517,(Berlin 1898),26b8fe654f24163f,parenthetical,Berlin,1898,,,2090
373,534,Herman and Rosen (2003),d9101f30aafc98ce,author_year,Herman and Rosen,2003,,,4727
374,534,(Leipzig 1910),497b91f959e6452c,parenthetical,Leipzig,1910,,,4849
375,542,(Wien 1919),a500f9e96aa4ce47,parenthetical,Wien,1919,,,4508
376,542,(Roma 1974),d5c49d73b376ecf3,parenthetical,Roma,1974,,,4652
377,543,Sturla (2005),f685911b9423d698,author_year,Sturla,2005,,,2424
378,543,William (2000),996ba2393da55793,author_year,William,2000,,,3406
379,543,William (2001),edd5e8095ab60bac,author_year,William,2001,,,3508
380,543,William (2003),701e30164b5fe84e,author_year,William,2003,,,3647
381,543,Ewa (1997),6892fa2741fd06e0,author_year,Ewa,1997,,,3762
382,543,Terje (1990),58f5dfc4a47aaba9,author_year,Terje,1990,,,3864
383,543,Connor (1988),ee373d8b2853fbef,author_year,Connor,1988,,,4015
384,543,Victor (1985),8c3227c8e395bb5e,author_year,Victor,1985,,,4494
385,543,Alan (1977),a2aedebbb343db7f,author_year,Alan,1977,,,4596
386,543,Anna (1988),a1262a2d241ccf7f,author_year,Anna,1988,,,4775
387,544,Loncuei (1908),b05fec559b405a23,author_year,Loncuei,1908,,,961
388,552,Lakoff and Johnson (1980),ad7e045e45cfeaea,author_year,Lakoff and Johnson,1980,,,2866
389,554,Fedhijktin (1956),44d00f613ee88440,author_year,Fedhijktin,1956,,,417
390,554,""" (1962)",232bb0ac5508ad73,year_after_quote,1962,,,,656
391,555,Henle (1958),6f49d7a0a44dace2,author_year,Henle,1958,,,76
392,570,Bayern (1999),3e12ae62b97c02c8,author_year,Bayern,1999,,,5399
393,570,(Florence 1982),ae43742cb9d54807,parenthetical,Florence,1982,,,3681
394,570,(Berlin 2003),d1a33fdcdd1bf633,parenthetical,Berlin,2003,,,4034
395,570,(Copenhagen 1942),b69cf8753b0cc207,parenthetical,Copenhagen,1942,,,4132
396,570,(Copenhagen 1952),bea6f8757c383353,parenthetical,Copenhagen,1952,,,4261
397,570,(London 1980),1a702bb7b10da79d,parenthetical,London,1980,,,4864
398,570,(London 1908),fe1c8414b0bd3b20,parenthetical,London,1908,,,4968
400,570,(Heidelberg 1993),013ea9b32935a027,parenthetical,Heidelberg,1993,,,5692
401,570,(Tournhout 1979),66a516315e9963f0,parenthetical,Tournhout,1979,,,5810
402,570,(Heidelberg 1991),ecc163aa0dca0629,parenthetical,Heidelberg,1991,,,5988
403,570,(Groningen 2003),115cdaf2e293ec1a,parenthetical,Groningen,2003,,,6628
404,570,(London 1997),f5797afe11664b11,parenthetical,London,1997,,,6755
405,570,(Princeton 1991),409dc47770718cf6,parenthetical,Princeton,1991,,,6840
406,570,(London 2003),08a1c7865af85252,parenthetical,London,2003,,,7061
407,570,(Oxford 1992),a69b80ff9b873ae0,parenthetical,Oxford,1992,,,7158
408,570,(Uppsala 1921),0c15d31cf08f1fbc,parenthetical,Uppsala,1921,,,7255
410,570,(Munich 1963),8a5bc79027c9e3e6,parenthetical,Munich,1963,,,7784
411,570,(Berlin 1970),4ce00931e96ce23a,parenthetical,Berlin,1970,,,8557
412,570,(Paris 1991),c9709be436d80d9c,parenthetical,Paris,1991,,,8885
413,570,(Oslo 1931),d4a55e244594c225,parenthetical,Oslo,1931,,,8996
414,570,(Oxford 1936),44148c599fe9ed3b,parenthetical,Oxford,1936,,,9078
415,570,(Leiden 2003),a6c4c396c2fc1108,parenthetical,Leiden,2003,,,9192
416,570,(Innsbruck 1996),407371ab98138f85,parenthetical,Innsbruck,1996,,,9639
417,570,(Paris 1974),28744e18a6938f49,parenthetical,Paris,1974,,,9747
418,570,(Cambridge 1902),bdcb58db4a89e009,parenthetical,Cambridge,1902,,,10254
419,570,(Oslo 1968),c219c2e77fcbbebf,parenthetical,Oslo,1968,,,10596
420,570,(Oxford 2000),34a3c5e40addc53a,parenthetical,Oxford,2000,,,10903
421,570,(Mainz 1980),e2a7c6af0f8b0f3d,parenthetical,Mainz,1980,,,11758
422,570,(Stockholm 1958),34b2b610421370c1,parenthetical,Stockholm,1958,,,11816
423,570,(Oslo 1981),0fdf821a89597bfe,parenthetical,Oslo,1981,,,11975
424,570,(London 1959),b8d0ce77e2173788,parenthetical,London,1959,,,12303
425,573,"(Oxford, 1996)",49af90e284b379d4,parenthetical_comma,Oxford,1996,,,1610
426,573,"(Oxford, 1969)",329fa8289f75fa88,parenthetical_comma,Oxford,1969,,,1695
427,580,Stjepan (1986),60fd3896b508b2a3,author_year,Stjepan,1986,,,5129
428,580,Ivan (1958),ca9eddf2876c9520,author_year,Ivan,1958,,,5250
429,580,Milorad (1990),46f77f2d6add55ce,author_year,Milorad,1990,,,5563
430,580,Senahid (1990),c690f046ecf05190,author_year,Senahid,1990,,,5779
431,580,Senahid (1991),0fc2d5dd9faa5fee,author_year,Senahid,1991,,,5958
432,580,Milka (1995),afadcb56b8a80b33,author_year,Milka,1995,,,6037
433,580,Hamdija (1991),07d178de40b6ac10,author_year,Hamdija,1991,,,6139
434,580,Milorad (1986),9180d11b5f02f09d,author_year,Milorad,1986,,,6340
435,580,Milorad (1997),3414e5cbed65fee7,author_year,Milorad,1997,,,6445
436,580,Abdulah (1973),9090828d21a44dc1,author_year,Abdulah,1973,,,6586
437,580,Ladislav (1991),5898a47f47e087da,author_year,Ladislav,1991,,,6675
438,586,(Moskva 1963),b22f1cd12f26d50b,parenthetical,Moskva,1963,,,3326
439,586,"(Wiesbaden, 2001)",0116a23e3fca9c3d,parenthetical_comma,Wiesbaden,2001,,,2835
440,586,"(Leiden, 1885)",a7916046ea47041c,parenthetical_comma,Leiden,1885,,,3063
441,586,"(Yerevan, 1961)",07a082119ab18d5a,parenthetical_comma,Yerevan,1961,,,3243
442,586,"(Paris, 1981)",c9a41c9d0cc26cc6,parenthetical_comma,Paris,1981,,,3428
443,586,"(Constantinopole,1851)",6e9f52236aa9f5dc,parenthetical_comma,Constantinopole,1851,,,3619
444,586,"(Yerevan, 1979)",46a224805f0738b9,parenthetical_comma,Yerevan,1979,,,3686
445,587,Edith (1928),93f9030cd7e50c7c,author_year,Edith,1928,,,3843
446,587,Sabri (1997),eaeac7f936d0a0a1,author_year,Sabri,1997,,,4747
447,598,Roland (1986),18995a96565f7f34,author_year,Roland,1986,,,3253
448,607,Libraries (2007),74f227bc5c18e4dc,author_year,Libraries,2007,,,4280
449,607,Linguistics (2000),16a0e79a20a7166a,author_year,Linguistics,2000,,,4491
450,607,Session (2005),acd77afab1992e18,author_year,Session,2005,,,4694
451,607,Management (2007),f47f9da4a4a676c7,author_year,Management,2007,,,4965
452,607,Visualization (2010),7590eead0a78d8ec,author_year,Visualization,2010,,,5004
453,607,Papers (2010),bae97b2a451e5416,author_year,Papers,2010,,,5113
454,607,Software (2010),a31312d7447c7fee,author_year,Software,2010,,,5191
455,607,Meaning and Symbols (2010),c4b72f3adacc18db,author_year,Meaning and Symbols,2010,,,5258
456,607,Models (2010),c2855605d983d79b,author_year,Models,2010,,,5331
457,607,Visualization (2002),2202563d3d23bb4e,author_year,Visualization,2002,,,5702
458,616,Mysvkalf (2011),d4822c6e938704a7,author_year,Mysvkalf,2011,,,2325
459,625,Airgeanc (2011),58a4c1a1c45cc08e,author_year,Airgeanc,2011,,,3038
460,625,Anoi (2010),275aecc6c21b5aad,author_year,Anoi,2010,,,3070
461,625,(Lacaille 9352),c5a4dc0891f539b8,parenthetical,Lacaille,9352,,,2168
462,625,(Struve 2398),6760569a3c326c79,parenthetical,Struve,2398,,,2229
466,627,An (1981),b96de713c3144692,author_year,An,1981,,,2739
467,627,Hsin (1979),b8e6b73c389faa19,author_year,Hsin,1979,,,2886
468,630,Ramsey (1987),86d4cdae43e10c88,author_year,Ramsey,1987,,,3350
469,630,Chappell (2001),29e53e8591563350,author_year,Chappell,2001,,,3370
470,630,(Li 1992),066a5f58dc5c2ecc,parenthetical,Li,1992,,,2020
471,632,Soren (1956),83956dd3afa976cd,author_year,Soren,1956,,,1943
472,638,Guthrie (1948),0ed4a760271803e9,author_year,Guthrie,1948,,,4293
473,638,Prata (1960),50afdd1ae93fda67,author_year,Prata,1960,,,4558
474,638,Stucky (1985),18e1261aff164b49,author_year,Stucky,1985,,,4622
475,638,(Gordon 2005),8b20adcd0f2fba29,parenthetical,Gordon,2005,,,455
476,638,(José 2004),50d8b3cd599e2125,parenthetical,José,2004,,,3992
477,638,(Centis 2000),f7a6cdcadb6ee5f9,parenthetical,Centis,2000,,,4754
478,639,Rhodesiana (1970),69450f90ada4fc55,author_year,Rhodesiana,1970,,,2525
479,639,Ndebele (1995),7ff0033f3739b82d,author_year,Ndebele,1995,,,3635
480,642,Crowley (2001),6b9c4fb6fb6ec54c,author_year,Crowley,2001,,,2787
481,643,Lastjav (2007),b239584a00e6368d,author_year,Lastjav,2007,,,1805
482,645,Blust (1999),18ac6b1f99a0c50d,author_year,Blust,1999,,,515
483,645,(Li 2004),c5ec375dca0fef08,parenthetical,Li,2004,,,1942
484,648,Lowry (1969),48386b419e8bb986,author_year,Lowry,1969,,,3664
485,693,"(Paris, 1994)",0c162bc09a63b7a9,parenthetical_comma,Paris,1994,,,2501
486,697,Sapir (1921),4e21c792804b4ba0,author_year,Sapir,1921,,,733
487,697,Hayes (1969),7323b4fee2b757b7,author_year,Hayes,1969,,,1691
488,697,(Shannon 1948),acc1a56e3833fa1c,parenthetical,Shannon,1948,,,1583
489,734,Bidhma (1979),ec343a9925326908,author_year,Bidhma,1979,,,456
491,752,"(Dublin, 1940)",7ea6b014820cd2d4,parenthetical_comma,Dublin,1940,,,1597
492,752,"(London, 1932)",96159555ae454cb0,parenthetical_comma,London,1932,,,1922
493,752,"(Ithaca, 1990)",4b635474eebd51a3,parenthetical_comma,Ithaca,1990,,,2039
494,752,"(London, 1992)",aa65673455030979,parenthetical_comma,London,1992,,,2113
495,752,"(Dublin, 1976)",8ce18c40bfba89e2,parenthetical_comma,Dublin,1976,,,2186
496,752,"(Dublin, 1961)",4a0c69833c579f9f,parenthetical_comma,Dublin,1961,,,2272
497,790,Sep (1982),f4ae05a935abb202,author_year,Sep,1982,,,2850
498,790,Oct (1982),954184ea79a87e76,author_year,Oct,1982,,,3499
499,790,Jun (1981),66afe887ba1f7bd8,author_year,Jun,1981,,,4279
500,790,"Anthropologist 
(1953)",67702cbd63f0343e,author_year,Anthropologist,1953,,,4807
501,790,"(Winter, 1991)",5ea23a7eaaed5165,parenthetical_comma,Winter,1991,,,4174
502,794,Alexander (1999),c5e4bed2eebbd899,author_year,Alexander,1999,,,4163
503,797,Abdallah (2003),14ca8b34d85ffd99,author_year,Abdallah,2003,,,76863
504,797,Harry (2002),b8841868aa551275,author_year,Harry,2002,,,161425
505,802,(Newmann 2010),5a1b8e908146c9df,parenthetical,Newmann,2010,,,462
506,802,(Deyrner & Dwais 2005),4e8ae5b44c01c836,parenthetical,Deyrner & Dwais,2005,,,1529
507,802,(Heydkhanhra 1986),7e946849f29775a8,parenthetical,Heydkhanhra,1986,,,1713
508,805,Postan (1965),9ec71733a1114d0f,author_year,Postan,1965,,,6294
509,805,(June 1998),11a189a4d8957402,parenthetical,June,1998,,,5310
510,807,"(Blackwell, 1997)",d7ab7febea49cf7c,parenthetical_comma,Blackwell,1997,,,11409
511,807,"(Pergamon, 1995)",7a562d78939823ca,parenthetical_comma,Pergamon,1995,,,81817
512,808,Farrell (1993),1992794857fae61d,author_year,Farrell,1993,,,1498
513,808,Frantz (1984),9ff13c600c476b30,author_year,Frantz,1984,,,2271
514,808,Brekle (1970),8a989366f4913c34,author_year,Brekle,1970,,,2666
515,808,Ohlander (1976),2f5be27cc60c1892,author_year,Ohlander,1976,,,6188
516,808,Schreuder (1997),fe52c55931d9284e,author_year,Schreuder,1997,,,8666
517,808,Neijt (1997),3630cee0755313c9,author_year,Neijt,1997,,,8788
518,808,Caramazza (1985),6ce3b9ac73facba1,author_year,Caramazza,1985,,,10642
519,808,Palermo (1985),7392e9c15fa9b632,author_year,Palermo,1985,,,11537
520,808,Oka (1974),fb6a18a835c5bd77,author_year,Oka,1974,,,15401
521,808,Fulass (1978),7ff45a5660280b9e,author_year,Fulass,1978,,,16256
522,808,Caramazza (1980),dacbb035aa366fee,author_year,Caramazza,1980,,,17538
523,808,Heidolph (1970),a33745d14c9be63c,author_year,Heidolph,1970,,,18661
524,808,Russel (1987),8cc3b3393fbf290c,author_year,Russel,1987,,,19932
525,808,Picallo (1996),5eb9ab8fdf7c7ec6,author_year,Picallo,1996,,,22806
526,808,Hippisley (1994),67c3bc7415e10e08,author_year,Hippisley,1994,,,26035
527,808,Anshen (1986),425519997827734b,author_year,Anshen,1986,,,29166
528,808,Selkirk (1982),f0fcad743dca7803,author_year,Selkirk,1982,,,31230
529,808,Demirdache (1993),5142945b24bfb568,author_year,Demirdache,1993,,,35117
530,808,Zhang (1985),cc5cdbc67a2e002a,author_year,Zhang,1985,,,36207
531,808,Barron (1986),c5a9d4ca5fd2c973,author_year,Barron,1986,,,37750
532,808,Ahmad (1986),74da3b0656258065,author_year,Ahmad,1986,,,41026
533,808,Sowden (1992),a11db554a583bff8,author_year,Sowden,1992,,,43373
534,808,Donohue (1993),a75eed0852f48af1,author_year,Donohue,1993,,,45150
535,808,Gillian (1985),a0afbe5adee548ad,author_year,Gillian,1985,,,45255
536,808,Bayer (1988),2207dcb9b7ed53ce,author_year,Bayer,1988,,,47458
537,808,Mandelbaum (1993),a1dfb8281def435e,author_year,Mandelbaum,1993,,,48734
538,808,Nzwanga (1994),093d8ca2b842e341,author_year,Nzwanga,1994,,,54675
539,808,Nigel (1990),3b69937dabad5ec6,author_year,Nigel,1990,,,54980
540,808,Hymes (1956),39a5c46b87681b87,author_year,Hymes,1956,,,55454
541,808,Bromley (1986),282561f1e8a2b1bc,author_year,Bromley,1986,,,56516
542,808,Pickett (1967),d794574efbd2e3c1,author_year,Pickett,1967,,,56908
543,808,Izvorski (1995),61a0f888528a1f58,author_year,Izvorski,1995,,,57059
544,808,Dressler (1977),8ef029a11766aad7,author_year,Dressler,1977,,,61335
545,808,Kaughan (1964),ba5450d57b1564fd,author_year,Kaughan,1964,,,61626
546,808,Hudson (1992),9b1a975fdeaee954,author_year,Hudson,1992,,,61810
547,808,Speas (1986),1b2bca58ea8bae6e,author_year,Speas,1986,,,62464
548,808,Montermini (2000),313f3866bf2b342a,author_year,Montermini,2000,,,65210
549,808,Eagle (1985),638a573c5f88739d,author_year,Eagle,1985,,,65979
550,808,Noonan (1988),c83da66019ee5b66,author_year,Noonan,1988,,,68961
551,808,Inoue (1983),56be479d66538eae,author_year,Inoue,1983,,,72077
552,808,Lin (1993),3b88f51a6eb85fcb,author_year,Lin,1993,,,77552
553,808,Neubauer (1974),8d26ffbf5e2b5551,author_year,Neubauer,1974,,,81594
554,808,Katz(1991),57a16d21b5d1373a,author_year,Katz,1991,,,86097
555,808,Saporta (1973),0eca8b429bf98e92,author_year,Saporta,1973,,,86457
556,808,Zimmer (1976),53695a003cd15a77,author_year,Zimmer,1976,,,91655
557,808,Blount (1966),95622b0cae7163e0,author_year,Blount,1966,,,92694
558,808,Sag (1985),25f303f66eee61a0,author_year,Sag,1985,,,96111
559,808,Lessen (1985),aa0bfe14ef29b727,author_year,Lessen,1985,,,96222
560,808,Hyona (1994),e3eae9d1a0371dc7,author_year,Hyona,1994,,,99982
562,808,Burani (1985),e44b0766ef1a46a2,author_year,Burani,1985,,,102563
563,808,Thornton (1995),d427d61027306ef2,author_year,Thornton,1995,,,102697
564,808,Rappaport (1988),bd9865ebd34cbbc3,author_year,Rappaport,1988,,,104228
565,808,Goldinger (1994),09491981e6db001a,author_year,Goldinger,1994,,,105729
566,808,Chomsky (1972),2ef08c06eafa2c02,author_year,Chomsky,1972,,,114823
567,808,Hagiwara (1983),b08625c9e08f106c,author_year,Hagiwara,1983,,,115751
568,808,Halpern (1993),8794016304bc06f7,author_year,Halpern,1993,,,118417
569,808,Benson (1973),5c6e20a1678af2f2,author_year,Benson,1973,,,121278
570,808,Prince (1991),dcfdffb67be9a327,author_year,Prince,1991,,,131643
571,808,Zwicky (1988),c0c4bd38accb913e,author_year,Zwicky,1988,,,133537
572,808,Zwicky (1991),2ded99a2b43b7435,author_year,Zwicky,1991,,,133719
573,808,Black (1988),0edcda4225307a04,author_year,Black,1988,,,134047
574,808,Gibbon (1991),41e45ee2439feafd,author_year,Gibbon,1991,,,139617
575,808,Lees (1960),4d82946bc8846452,author_year,Lees,1960,,,144982
576,808,Zimmermann (1962),0a8e66736915acaf,author_year,Zimmermann,1962,,,147431
577,808,Shih (1991),23c3ea818aa79a40,author_year,Shih,1991,,,153251
578,808,Shih (1995),1f6592390134072c,author_year,Shih,1995,,,153534
579,808,Wunderlich (1994),c14579de36b3afc3,author_year,Wunderlich,1994,,,157152
580,808,Thompson (1969),896dfacfb882a475,author_year,Thompson,1969,,,161332
581,808,Fossella (1994),5a50cff32fc8daab,author_year,Fossella,1994,,,168809
582,808,Bybee (1985),acf1aee4550991e2,author_year,Bybee,1985,,,170286
583,808,Farran (1991),6cad0b4606639e9b,author_year,Farran,1991,,,174479
584,808,Jeffers (1980),c4dac4bbb58fd1d8,author_year,Jeffers,1980,,,176485
585,808,""" (1988)",4ba62d43b49cdd07,year_after_quote,1988,,,,133641
586,809,Hymes (1960),ad12cd42fca42a7a,author_year,Hymes,1960,,,4123
587,809,Embleton (1986),3a1b40d6de10dcba,author_year,Embleton,1986,,,4175
588,809,Trask (2000),42fa91f14de48ce7,author_year,Trask,2000,,,4429
589,809,Swadesh (1955),1ceb7bc3895a29c9,author_year,Swadesh,1955,,,8876
590,809,Kessler (1995),ac219cafe29a781d,author_year,Kessler,1995,,,11326
591,809,Séguy (1971),719d27c5b9942d07,author_year,Séguy,1971,,,11433
592,809,Petroni (2008),b6fa7b55b2a2c967,author_year,Petroni,2008,,,11480
